,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime,FitIntvl,time,Svid
19,-0.000511254183948,1.13686837722e-12,0.0,26.0,-71.09375,4.21481842125e-09,1.60802315342,-3.86498868465e-06,0.0101861085277,6.37583434582e-06,5153.65432358,151200.0,-1.97440385819e-07,-1.97048469272,-4.65661287308e-08,0.97623331647,271.5625,0.924049508611,-8.13605318499e-09,-2.2643800348e-10,1.0,1939.0,0.0,2.0,0.0,-1.53668224812e-08,26.0,144000.0,4.0,2017-03-06 18:00:00,19
20,0.000462918076664,1.5916157281e-12,0.0,19.0,7.875,5.44701260422e-09,-2.39425399223,4.30271029472e-07,0.00451804103795,7.72252678871e-06,5153.63721847,151200.0,5.21540641785e-08,-0.0644662778735,3.91155481338e-08,0.927181222694,205.75,1.56311750052,-8.39606401548e-09,4.3073222744e-10,1.0,1939.0,0.0,2.0,0.0,-8.38190317154e-09,19.0,144000.0,4.0,2017-03-06 18:00:00,20
21,-0.000518577173352,1.70530256582e-12,0.0,28.0,-79.0,4.93984862167e-09,0.887385990297,-4.15183603764e-06,0.0239509477979,1.05444341898e-05,5153.73169899,151200.0,-3.83704900742e-07,-1.05376237316,-1.37835741043e-07,0.938853560779,174.28125,-1.70042263194,-8.61428739107e-09,9.42896418278e-11,1.0,1939.0,0.0,2.0,0.0,-9.77888703346e-09,28.0,149820.0,4.0,2017-03-06 18:00:00,21
22,8.13333317637e-05,-1.17097442853e-11,0.0,38.0,11.625,5.50772941904e-09,-2.01570848203,6.31436705589e-07,0.00747052312363,7.18981027603e-06,5153.56972694,151200.0,8.00937414169e-08,-0.0130099191954,7.45058059692e-08,0.923852656891,214.40625,-1.79246706171,-8.43427989304e-09,4.35732435719e-10,1.0,1939.0,0.0,2.0,0.0,-1.76951289177e-08,38.0,144018.0,4.0,2017-03-06 18:00:00,22
23,-0.000206948257983,-9.09494701773e-13,0.0,23.0,-5.8125,5.1595006282e-09,-2.75355305521,-4.88013029099e-07,0.011333876173,8.05221498013e-06,5153.78404045,151200.0,-3.72529029846e-09,1.0692263623,-2.34693288803e-07,0.944556322665,218.09375,-2.49610202999,-8.18784105644e-09,-1.92508018732e-10,1.0,1939.0,0.0,2.0,0.0,-2.00234353542e-08,23.0,144018.0,4.0,2017-03-06 18:00:00,23
24,-3.1478703022e-05,-5.68434188608e-13,0.0,3.0,73.0625,4.73984029052e-09,2.86031422142,3.68431210518e-06,0.00557893246878,1.00359320641e-05,5153.70708084,151184.0,-6.89178705216e-08,2.0935633452,-6.33299350738e-08,0.946056333032,177.25,0.470798203915,-8.05390690612e-09,-2.1786621786e-10,1.0,1939.0,0.0,2.0,0.0,2.32830643654e-09,3.0,151110.0,4.0,2017-03-06 17:59:44,24
25,-0.000347571447492,-6.70752342558e-12,0.0,8.0,63.6875,4.28053544434e-09,1.94365927216,3.19257378578e-06,0.00626234232914,4.87267971039e-06,5153.62643433,158384.0,-1.67638063431e-07,-3.10982079101,-1.17346644402e-07,0.97785002235,295.21875,0.764119124629,-8.15998275318e-09,1.01075638777e-10,1.0,1939.0,0.0,2.0,0.0,5.58793544769e-09,8.0,151290.0,4.0,2017-03-06 19:59:44,25
26,-0.000519233290106,7.95807864051e-13,0.0,3.0,71.59375,4.79698552799e-09,2.49383668526,3.7532299757e-06,0.00175075756852,4.8540532589e-06,5153.6687336,165584.0,-4.28408384323e-08,-3.12384564034,1.86264514923e-08,0.959660431035,287.0625,-0.0278822413616,-8.39534970001e-09,1.34648465792e-10,1.0,1939.0,0.0,2.0,0.0,6.98491930962e-09,3.0,165270.0,4.0,2017-03-06 21:59:44,26
27,0.000219880603254,6.02540239925e-12,0.0,82.0,-73.46875,4.33839499728e-09,-0.349678874192,-3.94880771637e-06,0.00448966340628,4.29898500442e-06,5153.66165352,158400.0,1.15483999252e-07,-2.070129807,8.94069671631e-08,0.973963716104,303.25,0.284343918488,-8.29105964163e-09,-2.60010830495e-10,1.0,1939.0,0.0,2.8,0.0,1.86264514923e-09,82.0,156180.0,4.0,2017-03-06 20:00:00,27
28,0.000594874843955,2.95585778076e-12,0.0,50.0,38.78125,4.14267255894e-09,-0.630990921293,2.17370688915e-06,0.0198770785937,4.9564987421e-06,5153.64353752,151200.0,-1.86264514923e-07,-3.0320228295,8.75443220139e-08,0.989117764108,303.28125,-1.57295988608,-8.41356474446e-09,8.14319633967e-11,1.0,1939.0,0.0,2.8,0.0,-1.11758708954e-08,50.0,144018.0,4.0,2017-03-06 18:00:00,28
29,0.000622265972197,-2.72848410532e-12,0.0,25.0,-83.875,4.18124559423e-09,0.671354766541,-4.3623149395e-06,0.000694011570886,5.26197254658e-06,5153.66528702,151200.0,6.14672899246e-08,-2.00849980544,4.842877388e-08,0.980106431584,287.75,-0.0929528185094,-8.11926677148e-09,-1.68221292806e-10,1.0,1939.0,0.0,2.0,0.0,-1.02445483208e-08,25.0,144000.0,4.0,2017-03-06 18:00:00,29
30,0.000160412862897,-2.27373675443e-13,0.0,101.0,64.4375,4.82912972406e-09,2.06165577356,3.47755849361e-06,0.00250359880738,8.90716910362e-06,5153.71083641,151200.0,1.49011611938e-08,2.1857215739,8.00937414169e-08,0.948805333116,204.03125,3.05293410529,-8.19855578847e-09,-1.79293182566e-10,0.0,1939.0,0.0,2.8,0.0,3.72529029846e-09,101.0,144000.0,4.0,2017-03-06 18:00:00,30
31,0.000215102452785,-2.27373675443e-12,0.0,30.0,67.125,4.28374986395e-09,1.81334970673,3.81842255592e-06,0.00850295985583,1.03786587715e-05,5153.66690445,151200.0,6.33299350738e-08,2.15619869186,1.06170773506e-07,0.967808156203,180.09375,-0.27405007348,-7.89140013706e-09,-3.18941856637e-10,1.0,1939.0,0.0,2.0,0.0,-1.35041773319e-08,30.0,144000.0,4.0,2017-03-06 18:00:00,31
32,-0.000343162566423,-1.3073986338e-11,0.0,22.0,-2.59375,4.93699135979e-09,-0.621883229281,-1.34110450745e-07,0.000850406126119,7.82683491707e-06,5153.69503593,151184.0,1.86264514923e-09,1.06943635688,-1.30385160446e-08,0.958188731058,227.96875,-2.77681234817,-8.15855412224e-09,-2.84654714154e-10,1.0,1939.0,0.0,2.0,0.0,4.65661287308e-10,22.0,144000.0,4.0,2017-03-06 17:59:44,32
